acc,trait
W_OS_00003,52
W_OS_00011,81.33
W_OS_00039,86.67
W_OS_00040,65.33
W_OS_00052,88.67
W_OS_00053,73.33
W_OS_00055,84
W_OS_00056,89
W_OS_00057,49.33
W_OS_00059,85.33
W_OS_00060,27.33
W_OS_00062,19.33
W_OS_00063,88.67
W_OS_00067,10
W_OS_00068,76.67
W_OS_00069,84
W_OS_00070,34
W_OS_00071,86.67
W_OS_00072,10
W_OS_00074,39.33
W_OS_00075,30.67
W_OS_00076,85.33
W_OS_00077,54.67
W_OS_00078,81.33
W_OS_00079,28
W_OS_00080,84.67
W_OS_00081,88.67
W_OS_00084,82.67
W_OS_00085,83.33
W_OS_00086,52
W_OS_00087,22
W_OS_00088,88
W_OS_00090,38.67
W_OS_00091,70
W_OS_00092,75.33
W_OS_00093,78.67
W_OS_00094,13.33
W_OS_00095,85.33
W_OS_00096,87.33
W_OS_00099,80.67
W_OS_00100,90
W_OS_00101,88.67
W_OS_00102,53.33
W_OS_00103,54.67
W_OS_00104,43.33
W_OS_00107,17.33
W_OS_00108,89.33
W_OS_00110,16
W_OS_00112,11.33
W_OS_00113,64.67
W_OS_00116,88
W_OS_00117,84.67
W_OS_00118,84.67
W_OS_00119,54.67
W_OS_00121,53.33
W_OS_00122,53.67
W_OS_00123,50
W_OS_00124,28.67
W_OS_00125,71.33
W_OS_00126,81.33
W_OS_00127,19.33
W_OS_00128,28.67
W_OS_00129,89.33
W_OS_00130,13.33
W_OS_00131,72
W_OS_00132,90
W_OS_00134,83.33
W_OS_00135,65.33
W_OS_00136,52.67
W_OS_00137,61.33
W_OS_00138,88.67
W_OS_00139,66
W_OS_00140,89.33
W_OS_00143,16.67
W_OS_00145,88
W_OS_00146,84
W_OS_00163,63.33
W_OS_00173,89.33
W_OS_00174,76
W_OS_00175,37.33
W_OS_00176,90
W_OS_00177,90
W_OS_00178,90
W_OS_00179,31.33
W_OS_00180,78
W_OS_00181,49.33
W_OS_00182,57.33
W_OS_00183,80
W_OS_00184,78
W_OS_00185,86
W_OS_00186,77.33
W_OS_00187,12
W_OS_00188,15.33
W_OS_00189,88.67
W_OS_00190,55.33
W_OS_00191,85.33
W_OS_00192,89.33
W_OS_00194,12
W_OS_00196,10.67
W_OS_00198,62.67
W_OS_00198,72.67
W_OS_00199,47.33
W_OS_00200,83.33
W_OS_00201,60
W_OS_00202,31.33
W_OS_00204,68
W_OS_00205,84.67
W_OS_00206,28
W_OS_00207,66
W_OS_00208,59.33
W_OS_00209,88.67
W_OS_00210,74.67
W_OS_00211,82
W_OS_00212,69.33
W_OS_00213,88.67
W_OS_00214,87.33
W_OS_00215,87.33
W_OS_00216,60.67
W_OS_00217,52.67
W_OS_00218,65.33
W_OS_00221,61.33
W_OS_00222,70.67
W_OS_00223,90
W_OS_00224,79.33
W_OS_00225,86.67
W_OS_00226,80
W_OS_00227,80
W_OS_00228,43.33
W_OS_00229,54.67
W_OS_00230,43.33
W_OS_00231,88
W_OS_00232,78
W_OS_00232,83.33
W_OS_00233,78.67
W_OS_00235,66.67
W_OS_00236,63.33
W_OS_00237,89.33
W_OS_00238,80.67
W_OS_00239,66.67
W_OS_00239,88
W_OS_00240,74
W_OS_00241,55.33
W_OS_00242,82
W_OS_00243,72.67
W_OS_00244,47.33
W_OS_00245,61
W_OS_00246,40
W_OS_00248,46.67
W_OS_00249,36
W_OS_00250,21.33
W_OS_00251,80
W_OS_00252,90
W_OS_00254,68
W_OS_00255,73.33
W_OS_00256,52
W_OS_00257,86.67
W_OS_00259,50
W_OS_00260,61.33
W_OS_00261,16
W_OS_00262,83.33
W_OS_00263,86.67
W_OS_00264,81.33
W_OS_00265,89.33
W_OS_00266,89
W_OS_00267,58
W_OS_00268,74
W_OS_00270,90
W_OS_00271,74.67
W_OS_00272,57.33
W_OS_00273,64
W_OS_00274,59.33
W_OS_00275,84
W_OS_00276,74.67
W_OS_00277,49.33
W_OS_00278,88
W_OS_00279,84.67
W_OS_00280,35.33
W_OS_00281,76.67
W_OS_00282,82
W_OS_00283,77.33
W_OS_00284,86
W_OS_00285,54
W_OS_00286,82
W_OS_00287,58
W_OS_00289,56
W_OS_00290,63.33
W_OS_00291,76.67
W_OS_00292,43.33
W_OS_00293,52.67
W_OS_00294,75.33
W_OS_00295,68
W_OS_00296,82
W_OS_00297,81.33
W_OS_00298,58
W_OS_00299,45.33
W_OS_00300,71.33
W_OS_00301,78
W_OS_00302,87.33
W_OS_00303,68
W_OS_00304,54.67
W_OS_00305,89.33
W_OS_00306,90
W_OS_00330,74
W_OS_00331,35.33
W_OS_00332,64
W_OS_00333,88.67
W_OS_00334,84
W_OS_00335,69.33
W_OS_00336,18.67
W_OS_00337,89.33
W_OS_00338,86.67
W_OS_00339,56.67
W_OS_00340,76
W_OS_00341,45.33
W_OS_00342,82.67
W_OS_00343,86.67
W_OS_00344,58.67
W_OS_00345,12
W_OS_00345,66
W_OS_00346,45.33
W_OS_00347,39.33
W_OS_00348,68
W_OS_00349,86.67
W_OS_00350,87
W_OS_00351,89.33
W_OS_00352,74.67
W_OS_00354,68
W_OS_00356,69.33
W_OS_00602,64.67
